DSGN_CODE	WAIVER_CODE	Record_End
11OA	119.69(A)         	 
17HA	119.69(B)         	 
17HA	135.23(A)         	 
17HA	135.341(A)        	 
19EA	121.339(A)(2)     	 
19EA	121.339(A)(3)     	 
19EA	121.590           	 
1DVA	119.69(B)         	 
1FCA	119.69(A)         	 
1GMA	119.69(A)         	 
1GMA	119.69(B)         	 
1KJA	119.71(C)         	 
1LNA	119.69(A)         	 
1LNA	135.21(A)         	 
1NKG	107.29            	 
1P0A	119.69(B)         	 
1TWA	119.69(B)         	 
1UPA	107.25            	 
1UPA	119.71(D)(1)      	 
1UPA	119.71(D)(2)      	 
1UPA	119.71(E)         	 
1UPA	135.143(C)        	 
1UPA	135.149(A)        	 
1UPA	135.161           	 
1UPA	135.203(A)        	 
1UPA	135.203(A)(1)     	 
1UPA	135.203(B)        	 
1UPA	135.209(A)        	 
1UPA	135.243(B)(1)     	 
1UPA	135.243(B)(2)     	 
1UPA	135.25(A)         	 
1UPA	135.25(A)(1)      	 
1UPA	135.337(B)(1)     	 
1UPA	135.338(B)(1)     	 
1UPA	135.339(E)(3)     	 
1UPA	135.339(E)(4)     	 
1UPA	135.340(E)(3)     	 
1UPA	135.340(E)(4)     	 
1UPA	135.63(C)         	 
1UPA	135.63(D)         	 
1UPA	61.133            	 
1UPA	91.119(B)         	 
1UPA	91.119(C)         	 
1UPA	91.151(B)         	 
1UPA	91.7(A)           	 
1WSA	119.69(A)         	 
1WSA	119.69(B)         	 
1XOA	119.69(B)         	 
1ZIA	91.113            	 
252B	125.3(A)          	 
252B	125.37(B)         	 
29GA	121.438(B)        	 
2DEG	91.119(C)         	 
2DEG	91.121            	 
2DEG	91.151(B)         	 
2IVA	119.69(B)         	 
2MKA	119.69(B)         	 
2P9A	119.69(B)         	 
2RPA	135.105(A)        	 
2VKA	135.213(A)        	 
3A1A	119.69(B)         	 
3A7A	119.69(A)         	 
3FFA	119.71(C)         	 
3G3A	119.69(A)         	 
3G3A	135.21(A)         	 
3V7G	91.119(C)         	 
3V7G	91.121            	 
3V7G	91.151(B)         	 
